Team,Player,Matches,Runs,Average,Strike Rate,Fours,Sixes
England,Joe Root,210,10000,45.5,120.3,1000,110
England,Eoin Morgan,190,7500,40.5,135,800,140
England,Jonny Bairstow,180,6500,38,125,700,110
England,Jos Buttler,150,5000,35,145,600,100
England,Ben Stokes,140,4500,33.3,130.1,550,90
England,Alex Hales,130,4000,31,120.2,500,80
England,Tom Banton,100,3000,30,115,400,60
England,Sam Curran,90,2500,28,110,350,50
England,James Vince,85,2200,27,105,300,40
England,Liam Livingstone,75,1800,24,110,250,30
