Team,Player,Matches,Runs,Average,Strike Rate,Fours,Sixes
India,Virat Kohli,250,12000,55.3,130.2,1200,150
India,Shikhar Dhawan,180,6000,40.2,110.3,800,100
India,Rohit Sharma,230,9500,48,130.1,1000,130
India,KL Rahul,150,5000,45,120,600,80
India,Ajinkya Rahane,190,5500,38.5,110,650,70
India,Shreyas Iyer,120,4000,42,115,500,60
India,Rishabh Pant,70,2500,35.7,140,300,50
India,Hardik Pandya,120,3000,30.2,125,350,40
India,Prithvi Shaw,80,2000,25,100,250,30
India,Mayank Agarwal,100,3500,34.5,110.2,400,60
