Player ID,Player Name,Team Name,Position,Timestamp,X Coordinate,Y Coordinate,Speed (m/s),Acceleration (m/s²),Distance Covered (m),Sprint Count,Heart Rate (BPM),Ball Possession Time (s),Heatmap Coverage (%),Avg Speed in Last 5 min (m/s),Fatigue Level (%),Injury Risk (%),Optimal Substitution Time (min),Pass Accuracy (%),Shots on Target (%),Successful Tackles
1,Kai Havertz,Manchester United,Goalkeeper,2025-03-07 11:32:30,30.31,3.27,27.05,0.5,314.82,27,111,77.73,31.11,4.85,50.7,46.96,86,91.28,47.83,14
2,Dusan Vlahovic,Manchester United,Defender,2025-03-07 11:32:30,91.04,97.01,12.17,0.43,626.29,6,142,131.74,58.35,11.45,31.12,16.34,31,89.46,84.55,9
3,Sadio Mane,Manchester United,Goalkeeper,2025-03-07 11:32:30,48.32,38.98,13.41,0.73,564.82,33,126,13.81,51.4,5.92,70.69,14.1,78,99.25,78.51,4
4,Jadon Sancho,Manchester United,Defender,2025-03-07 11:32:30,83.87,26.35,10.27,3.78,600.54,25,150,149.66,76.88,5.65,77.47,34.0,30,54.79,87.96,15
5,Karim Benzema,Manchester United,Forward,2025-03-07 11:32:30,14.46,94.83,25.37,2.21,160.66,41,116,38.45,51.48,4.89,50.22,37.17,85,97.14,65.51,10
6,Gerard Moreno,Manchester United,Goalkeeper,2025-03-07 11:32:30,67.67,17.98,20.63,4.89,267.89,26,162,184.11,78.06,6.08,11.64,22.46,55,91.48,19.84,10
7,Declan Rice,Manchester United,Midfielder,2025-03-07 11:32:30,23.64,62.59,17.92,0.78,548.37,15,148,131.73,55.66,4.62,70.38,40.29,71,55.52,15.17,10
8,Romelu Lukaku,Manchester United,Goalkeeper,2025-03-07 11:32:30,47.14,10.59,9.98,3.91,727.03,11,111,74.34,21.08,13.69,13.12,47.11,84,86.2,34.55,13
9,Marcus Rashford,Manchester United,Forward,2025-03-07 11:32:30,66.02,37.93,17.25,1.82,878.96,6,115,233.86,40.6,6.5,61.59,8.21,72,61.81,58.35,8
10,Pedri,Manchester United,Midfielder,2025-03-07 11:32:30,89.72,27.88,7.09,2.05,885.57,19,102,125.56,79.37,11.26,92.08,20.9,70,82.15,16.67,13
