Player ID,Player Name,Team Name,Position,Timestamp,X Coordinate,Y Coordinate,Speed (m/s),Acceleration (m/s²),Distance Covered (m),Sprint Count,Heart Rate (BPM),Ball Possession Time (s),Heatmap Coverage (%),Avg Speed in Last 5 min (m/s),Fatigue Level (%),Injury Risk (%),Optimal Substitution Time (min),Pass Accuracy (%),Shots on Target (%),Successful Tackles
1,Neymar Jr.,Real Madrid,Defender,2025-03-07 11:32:30,94.38,40.88,20.99,2.99,148.01,23,93,139.49,48.53,8.64,32.44,29.66,80,77.54,26.42,4
2,Raheem Sterling,Real Madrid,Midfielder,2025-03-07 11:32:30,61.93,52.36,11.71,3.98,845.12,49,126,51.16,79.92,5.08,59.14,45.76,54,77.9,89.45,11
3,Frenkie de Jong,Real Madrid,Forward,2025-03-07 11:32:30,79.19,75.35,33.49,1.99,885.78,5,109,96.57,47.89,6.77,28.29,12.8,57,83.22,18.84,6
4,Edouard Mendy,Real Madrid,Midfielder,2025-03-07 11:32:30,81.25,67.15,26.75,4.01,262.08,36,180,118.06,74.41,12.59,47.76,24.87,83,56.73,10.61,1
5,Kylian Mbappe,Real Madrid,Midfielder,2025-03-07 11:32:30,79.93,89.59,10.91,3.29,267.76,32,109,122.72,55.87,5.61,37.81,21.62,32,75.26,82.81,7
6,Paulo Dybala,Real Madrid,Midfielder,2025-03-07 11:32:30,17.36,14.68,13.87,0.34,309.73,7,131,251.66,60.82,3.86,82.81,35.42,46,73.58,78.42,8
7,Matthijs de Ligt,Real Madrid,Midfielder,2025-03-07 11:32:30,84.58,43.13,27.64,1.04,975.55,23,180,125.0,27.16,12.33,39.7,45.15,86,59.44,22.28,6
8,Harry Kane,Real Madrid,Goalkeeper,2025-03-07 11:32:30,63.77,74.61,33.84,1.5,262.93,21,147,154.19,54.95,10.56,20.22,22.99,86,60.18,27.98,6
9,Cristiano Ronaldo,Real Madrid,Goalkeeper,2025-03-07 11:32:30,7.71,69.77,21.03,3.07,665.82,27,89,176.17,39.92,9.55,12.38,33.06,72,94.21,13.04,7
10,Bruno Fernandes,Real Madrid,Goalkeeper,2025-03-07 11:32:30,1.45,44.67,32.93,1.49,362.57,10,91,162.38,37.85,8.11,61.48,40.19,33,68.0,10.27,10
